                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                 1.1368,                0.98915,                  1.641,                0.96884,                0.83362,                0.90454,                 0.6987,                    nan,                    nan,                    nan,              0.0006792,              0.0006792,              0.0006792
                     55,                 1.1103,                0.98576,                 1.6107,                0.93725,                 0.8368,                0.92332,                0.72781,                    nan,                    nan,                    nan,             0.00066506,             0.00066506,             0.00066506
                     56,                 1.0648,                0.91308,                  1.579,                0.99028,                 0.8226,                0.89145,                0.70342,                    nan,                    nan,                    nan,             0.00065091,             0.00065091,             0.00065091
                     57,                 1.0691,                0.93365,                 1.5905,                0.95819,                0.84052,                0.90292,                0.71084,                    nan,                    nan,                    nan,             0.00063676,             0.00063676,             0.00063676
                     58,                 1.0737,                0.90415,                 1.5739,                0.97353,                0.83198,                0.89168,                0.70988,                    nan,                    nan,                    nan,             0.00062262,             0.00062262,             0.00062262
                     59,                 1.0581,                0.86774,                 1.5501,                0.95982,                0.85296,                0.92678,                 0.7206,                    nan,                    nan,                    nan,             0.00060847,             0.00060847,             0.00060847
                     60,                 1.0472,                0.87543,                 1.5449,                0.98052,                0.84127,                0.89396,                0.69535,                    nan,                    nan,                    nan,             0.00059432,             0.00059432,             0.00059432
                     61,                 1.0655,                0.91857,                 1.5654,                0.97592,                 0.8572,                0.91678,                0.72289,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                     62,                 1.0494,                0.89267,                 1.5423,                0.99361,                 0.8348,                0.88735,                0.72887,                    nan,                    nan,                    nan,             0.00056603,             0.00056603,             0.00056603
                     63,                 1.0035,                0.85372,                 1.5165,                0.95352,                0.84605,                0.90478,                0.73507,                    nan,                    nan,                    nan,             0.00055188,             0.00055188,             0.00055188
                     64,                   1.04,                0.88573,                 1.5454,                0.98444,                0.85493,                0.89909,                0.73613,                    nan,                    nan,                    nan,             0.00053773,             0.00053773,             0.00053773
                     65,                 1.0377,                0.86672,                 1.5234,                0.98551,                0.84356,                0.89947,                0.73835,                    nan,                    nan,                    nan,             0.00052359,             0.00052359,             0.00052359
                     66,                 1.0155,                0.80828,                 1.5037,                0.98074,                0.83479,                0.87997,                0.73067,                    nan,                    nan,                    nan,             0.00050944,             0.00050944,             0.00050944
                     67,                0.97798,                0.80655,                  1.479,                0.98838,                0.84545,                0.90571,                0.74411,                    nan,                    nan,                    nan,             0.00049529,             0.00049529,             0.00049529
                     68,                 1.0327,                0.84353,                 1.5144,                0.96027,                0.84475,                0.89059,                0.73016,                    nan,                    nan,                    nan,             0.00048114,             0.00048114,             0.00048114
                     69,                0.97928,                0.82835,                 1.4919,                0.98708,                0.85004,                 0.9093,                0.74856,                    nan,                    nan,                    nan,               0.000467,               0.000467,               0.000467
                     70,                0.96861,                0.81222,                 1.4755,                 0.9663,                0.86055,                0.91839,                0.75003,                    nan,                    nan,                    nan,             0.00045285,             0.00045285,             0.00045285
                     71,                0.94452,                0.78459,                 1.4453,                0.98311,                0.82371,                0.88509,                0.73031,                    nan,                    nan,                    nan,              0.0004387,              0.0004387,              0.0004387
                     72,                0.98208,                0.77798,                 1.4646,                0.97841,                0.85095,                0.91243,                0.75795,                    nan,                    nan,                    nan,             0.00042456,             0.00042456,             0.00042456
                     73,                0.96671,                 0.7917,                 1.4608,                0.98605,                0.84246,                0.89251,                0.75253,                    nan,                    nan,                    nan,             0.00041041,             0.00041041,             0.00041041
                     74,                0.95711,                0.79148,                 1.4667,                0.99299,                 0.8492,                0.90349,                0.76511,                    nan,                    nan,                    nan,             0.00039626,             0.00039626,             0.00039626
                     75,                0.93209,                0.79716,                 1.4664,                0.98179,                0.86039,                0.90401,                0.75811,                    nan,                    nan,                    nan,             0.00038211,             0.00038211,             0.00038211
                     76,                0.90285,                0.76227,                 1.4194,                0.97209,                0.84684,                0.89197,                0.74621,                    nan,                    nan,                    nan,             0.00036797,             0.00036797,             0.00036797
                     77,                0.95538,                0.78955,                 1.4593,                0.98149,                0.86832,                0.91671,                 0.7693,                    nan,                    nan,                    nan,             0.00035382,             0.00035382,             0.00035382
                     78,                0.91504,                0.78031,                 1.4342,                0.98295,                0.85178,                0.91557,                0.77551,                    nan,                    nan,                    nan,             0.00033967,             0.00033967,             0.00033967
                     79,                 0.9658,                0.78269,                 1.4728,                0.97585,                0.87272,                  0.933,                0.78068,                    nan,                    nan,                    nan,             0.00032553,             0.00032553,             0.00032553
                     80,                0.92287,                0.77829,                 1.4318,                0.99006,                0.84744,                 0.9062,                0.77074,                    nan,                    nan,                    nan,             0.00031138,             0.00031138,             0.00031138
                     81,                0.90804,                0.73425,                 1.4127,                0.98175,                0.85347,                0.90723,                0.77645,                    nan,                    nan,                    nan,             0.00029723,             0.00029723,             0.00029723
                     82,                0.88138,                0.71661,                 1.3944,                0.98604,                0.84206,                0.88416,                0.75402,                    nan,                    nan,                    nan,             0.00028308,             0.00028308,             0.00028308
