                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.74337,                 0.5565,                 1.2565,                0.98949,                 0.8669,                0.91389,                0.81006,                    nan,                    nan,                    nan,             0.00028308,             0.00028308,             0.00028308
                     83,                0.78305,                0.59257,                 1.2824,                0.99013,                0.86681,                0.91633,                 0.8075,                    nan,                    nan,                    nan,             0.00026894,             0.00026894,             0.00026894
                     84,                0.77964,                0.59876,                 1.3013,                0.99611,                0.87582,                0.93676,                 0.8348,                    nan,                    nan,                    nan,             0.00025479,             0.00025479,             0.00025479
                     85,                 0.7539,                0.56434,                 1.2684,                0.98501,                0.87764,                0.92314,                0.82164,                    nan,                    nan,                    nan,             0.00024064,             0.00024064,             0.00024064
                     86,                0.77093,                0.59272,                 1.2835,                0.99057,                0.87249,                0.91357,                0.81572,                    nan,                    nan,                    nan,              0.0002265,              0.0002265,              0.0002265
                     87,                0.71857,                0.55575,                 1.2432,                0.99149,                0.87198,                 0.9198,                0.82453,                    nan,                    nan,                    nan,             0.00021235,             0.00021235,             0.00021235
                     88,                0.76352,                 0.5846,                 1.2711,                0.98369,                0.87366,                0.92091,                0.82766,                    nan,                    nan,                    nan,              0.0001982,              0.0001982,              0.0001982
                     89,                0.73147,                0.53062,                 1.2543,                0.98871,                0.87723,                0.92459,                0.83191,                    nan,                    nan,                    nan,             0.00018406,             0.00018406,             0.00018406
                     90,                0.73336,                0.54543,                 1.2309,                 0.9893,                0.87407,                 0.9215,                0.83059,                    nan,                    nan,                    nan,             0.00016991,             0.00016991,             0.00016991
                     91,                 0.5387,                0.38403,                  1.092,                 0.9929,                0.87465,                0.92539,                0.83489,                    nan,                    nan,                    nan,             0.00015576,             0.00015576,             0.00015576
                     92,                0.53867,                0.36245,                 1.0918,                0.99567,                0.87041,                0.92754,                0.83095,                    nan,                    nan,                    nan,             0.00014161,             0.00014161,             0.00014161
                     93,                 0.5353,                0.34791,                 1.0888,                0.99712,                0.87605,                0.92643,                0.83971,                    nan,                    nan,                    nan,             0.00012747,             0.00012747,             0.00012747
                     94,                0.51062,                0.34012,                 1.0704,                0.99533,                0.87273,                0.92548,                0.83816,                    nan,                    nan,                    nan,             0.00011332,             0.00011332,             0.00011332
                     95,                0.51482,                0.34748,                 1.0813,                0.99655,                0.87672,                0.94032,                0.85196,                    nan,                    nan,                    nan,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.52017,                 0.3388,                 1.0745,                0.99589,                0.87435,                0.93524,                0.84829,                    nan,                    nan,                    nan,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.52247,                0.34133,                 1.0811,                0.99654,                0.87337,                0.93444,                 0.8498,                    nan,                    nan,                    nan,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                 0.5094,                0.33385,                 1.0665,                0.99419,                0.87548,                0.93308,                0.85449,                    nan,                    nan,                    nan,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.49693,                0.33918,                 1.0512,                0.99794,                0.87721,                0.93872,                0.85815,                    nan,                    nan,                    nan,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.50313,                0.33448,                 1.0717,                0.99772,                0.87707,                0.93872,                0.85721,                    nan,                    nan,                    nan,             2.8437e-05,             2.8437e-05,             2.8437e-05
